filetype,size,duration,bitrate
video/avi,504066244,3300083,1217257
video/avi,504066244,3300083,1217257
video/avi,385114206,3300083,928892
video/avi,385114206,3300083,928892
video/avi,384455892,3300041,927308
video/avi,384455892,3300041,927308
video/avi,383835170,3300041,925804
video/avi,383835170,3300041,925804
video/avi,381204034,3300000,919437
video/avi,381204034,3300000,919437
video/avi,370609158,3300083,893729
video/avi,370609158,3300083,893729
video/avi,365790602,3300041,882059
video/avi,365790602,3300041,882059
video/avi,355724310,3300041,857656
video/avi,355724310,3300041,857656
video/avi,318553544,3300041,767546
video/avi,318553544,3300041,767546
video/avi,311245850,3300041,749829
video/avi,588885204,6316100,743935
video/avi,588885204,6316100,743935
video/avi,787428598,8997300,698194
video/avi,787428598,8997300,698194
video/avi,281221966,3300041,677044
video/avi,281221966,3300041,677044
video/avi,2683237976,31800208,670460
video/avi,2683237976,31800208,670460
video/avi,277532226,3300041,668099
video/avi,277532226,3300041,668099
video/avi,265824260,3300041,639717
video/avi,265824260,3300041,639717
video/avi,260849718,3300083,627649
video/avi,260849718,3300083,627649
video/avi,851968728,10800041,626383
video/avi,851968728,10800041,626383
video/avi,260129446,3300083,625903
video/avi,237200652,3300041,570326
video/avi,237200652,3300041,570326
video/avi,761164504,3000000,2024897
video/avi,761164504,3000000,2024897
video/avi,745850334,3000200,1983926
video/avi,745850334,3000200,1983926
video/avi,725069122,2999920,1928693
video/avi,725069122,2999920,1928693
video/avi,723716438,3000280,1924854
video/avi,723716438,3000280,1924854
video/avi,720983752,3000160,1917645
video/avi,720983752,3000160,1917645
video/avi,718482624,3000120,1911000
video/avi,718482624,3000120,1911000
video/avi,777545408,3300040,1880057
video/avi,777545408,3300040,1880057
video/avi,705305146,2999920,1875985
video/avi,705305146,2999920,1875985
video/avi,704917436,2999960,1874927
video/avi,701596014,2999920,1866096
video/avi,701596014,2999920,1866096
video/avi,700252750,3000120,1862389
video/avi,700252750,3000120,1862389
video/avi,698007470,3000160,1856377
video/avi,698007470,3000160,1856377
video/avi,696171226,2999920,1851631
video/avi,696171226,2999920,1851631
video/avi,761595626,3300080,1841367
video/avi,761595626,3300080,1841367
video/avi,690957066,3000120,1837600
video/avi,690957066,3000120,1837600
video/avi,689401016,3000080,1833474
video/avi,689401016,3000080,1833474
video/avi,757298114,3300080,1830950
video/avi,757298114,3300080,1830950
video/avi,684827330,3000160,1821229
video/avi,684827330,3000160,1821229
video/avi,684200142,2999920,1819700
video/avi,684200142,2999920,1819700
video/avi,750518176,3300040,1814536
video/avi,750518176,3300040,1814536
video/avi,681409330,3000160,1812112
video/avi,681409330,3000160,1812112
video/avi,679657514,3000160,1807443
video/avi,679657514,3000160,1807443
video/avi,677587148,3000160,1801922
video/avi,677587148,3000160,1801922
video/avi,744262840,3300040,1799369
video/avi,744262840,3300040,1799369
video/avi,743885054,3300520,1798193
video/avi,743885054,3300520,1798193
video/avi,672362406,3000120,1788018
video/avi,672362406,3000120,1788018
video/avi,739195098,3300040,1787082
video/avi,739195098,3300040,1787082
video/avi,671821664,3000160,1786545
video/avi,671821664,3000160,1786545
video/avi,732625926,3300440,1770944
video/avi,732625926,3300440,1770944
video/avi,663368222,3000040,1764080
video/avi,663368222,3000040,1764080
video/avi,658516468,3000080,1751112
video/avi,658516468,3000080,1751112
video/avi,720061256,3300080,1740673
video/avi,720061256,3300080,1740673
video/avi,652958118,3000000,1736347
video/avi,652958118,3000000,1736347
video/avi,715506936,3300040,1729659
video/avi,715506936,3300040,1729659
video/avi,715215626,3300080,1728933
video/avi,715215626,3300080,1728933
video/avi,711480884,3300040,1719895
video/avi,711480884,3300040,1719895
video/avi,642936124,3000160,1709519
video/avi,642936124,3000160,1709519
video/avi,705279332,3299840,1704970
video/avi,705279332,3299840,1704970
video/avi,704397404,3300040,1702723
video/avi,704397404,3300040,1702723
video/avi,638063822,3000080,1696579
video/avi,638063822,3000080,1696579
video/avi,637822136,3000120,1695911
video/avi,637822136,3000120,1695911
video/avi,1148806224,5399760,1695715
video/avi,701391250,3300040,1695441
video/avi,701391250,3300040,1695441
video/avi,626677154,3000000,1666259
video/avi,626677154,3000000,1666259
video/avi,623262352,3000160,1657055
video/avi,623262352,3000160,1657055
video/avi,620936160,3000080,1650904
video/avi,620936160,3000080,1650904
video/avi,616925772,2999880,1640318
video/avi,616925772,2999880,1640318
video/avi,674428966,3300520,1629851
video/avi,674428966,3300520,1629851
video/avi,608599016,3000120,1617985
video/avi,608599016,3000120,1617985
video/avi,669045284,3300080,1616993
video/avi,669045284,3300080,1616993
video/avi,668769944,3300560,1616114
video/avi,668769944,3300560,1616114
video/avi,605633784,3000120,1610073
video/avi,605633784,3000120,1610073
video/avi,665465684,3300480,1608142
video/avi,665465684,3300480,1608142
video/avi,663309068,3300200,1603030
video/avi,663309068,3300200,1603030
video/avi,660404954,3300080,1596050
video/avi,660404954,3300080,1596050
video/avi,594773844,3000040,1581161
video/avi,594773844,3000040,1581161
video/avi,592937240,3000200,1576187
video/avi,592937240,3000200,1576187
video/avi,1058459648,5400680,1563001
video/avi,1058459648,5400680,1563001
video/avi,642772942,3300120,1553298
video/avi,642772942,3300120,1553298
